route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
598,0000000662025061320250909,0004256622025061320250909,Nomi Piazza Springa,0,D63_C5829_Andata_sub1,2
598,0000000662025061320250909,0004256632025061320250909,Nomi Piazza Springa,0,D57_C5823_Andata_sub1,2
598,0000000662025061320250909,0004256642025061320250909,Nomi Piazza Springa,0,D63_C5829_Andata_sub1,2
598,0000000662025061320250909,0004256652025061320250909,Nomi Piazza Springa,0,D57_C5823_Andata_sub1,2
598,0000000662025061320250909,0004256662025061320250909,Besenello Nord,1,D246_N5251_Andata_sub2,2
598,0000000662025061320250909,0004256672025061320250909,Volano Casa di Riposo,1,D58_C5824_Ritorno_sub1,2
598,0000000662025061320250909,0004256682025061320250909,Volano Casa di Riposo,1,D58_C5824_Ritorno_sub1,2
598,0000000662025061320250909,0004256692025061320250909,Corso Verona Ospedale,1,D64_C5830_Ritorno_sub1,2
598,0000000662025061320250909,0004256702025061320250909,Corso Verona Ospedale,1,D64_C5830_Ritorno_sub1,2
598,0000000662025061320250909,0004256712025061320250909,Volano Casa di Riposo,1,D58_C5824_Ritorno_sub1,2
598,0000000662025061320250909,0004256722025061320250909,Volano Casa di Riposo,1,D56_C5822_Ritorno_sub2,2
598,0000000662025061320250909,0004256732025061320250909,Nomi Piazza Springa,0,D57_C5823_Andata_sub1,2
598,0000000662025061320250909,0004256742025061320250909,Volano Casa di Riposo,1,D56_C5822_Ritorno_sub2,2
578,0000000822025061320250909,0004256752025061320250909,Marco,0,D272_R5109e_Andata_sub1,1
578,0000000592025061320250909,0004256762025061320250909,Marco,0,D301_R5153_Andata_sub2,1
578,0000000592025061320250909,0004256772025061320250909,Marco,0,D243_N5147_Andata_sub2,1
578,0000000592025061320250909,0004256782025061320250909,Marco,0,D272_R5109e_Andata_sub1,1
578,0000000592025061320250909,0004256792025061320250909,Marco,0,D265_R5103a_Andata_sub2,1
578,0000000592025061320250909,0004256802025061320250909,Marco,0,D243_N5147_Andata_sub2,1
578,0000000592025061320250909,0004256812025061320250909,Marco,0,D274_R5111_Andata_sub1,1
578,0000000592025061320250909,0004256822025061320250909,Marco,0,D288_R5127b_Andata_sub1,1
578,0000000592025061320250909,0004256832025061320250909,Marco,0,D276_R5113_Andata_sub1,1
578,0000000592025061320250909,0004256842025061320250909,Marco,0,D276_R5113_Andata_sub1,1
578,0000000592025061320250909,0004256852025061320250909,Volano Via Roma,1,D275_R5112a_Ritorno_sub1,1
578,0000000592025061320250909,0004256862025061320250909,Volano Via Roma,1,D275_R5112a_Ritorno_sub1,1
578,0000000592025061320250909,0004256872025061320250909,Corso Bettini Liceo,1,D273_R5110c_Ritorno_PRINCIPALE_sub1,1
578,0000000592025061320250909,0004256882025061320250909,Corso Bettini Liceo,1,D273_R5110c_Ritorno_PRINCIPALE_sub1,1
578,0000000592025061320250909,0004256892025061320250909,Corso Bettini Liceo,1,D273_R5110c_Ritorno_PRINCIPALE_sub1,1
578,0000000592025061320250909,0004256902025061320250909,Corso Bettini Liceo,1,D273_R5110c_Ritorno_PRINCIPALE_sub1,1
578,0000000592025061320250909,0004256912025061320250909,Volano Via Roma,1,D275_R5112a_Ritorno_sub1,1
578,0000000592025061320250909,0004256922025061320250909,Volano Via Roma,1,D275_R5112a_Ritorno_sub1,1
578,0000000592025061320250909,0004256932025061320250909,S.Ilario Via Monti,1,D268_R5106a_Ritorno_sub2,1
578,0000000592025061320250909,0004256942025061320250909,Besenello Nord,1,D270_R5108a_Ritorno_sub2,1
578,0000000592025061320250909,0004256982025061320250909,Marco,0,D301_R5153_Andata_sub2,1
578,0000000592025061320250909,0004256992025061320250909,Marco,0,D265_R5103a_Andata_sub2,1
578,0000000592025061320250909,0004257002025061320250909,Marco,0,D265_R5103a_Andata_sub2,1
578,0000000592025061320250909,0004257012025061320250909,Marco,0,D265_R5103a_Andata_sub2,1
578,0000000592025061320250909,0004257022025061320250909,Marco,0,D265_R5103a_Andata_sub2,1
578,0000000592025061320250909,0004257032025061320250909,Marco,0,D243_N5147_Andata_sub2,1
578,0000000592025061320250909,0004257042025061320250909,Marco,0,D243_N5147_Andata_sub2,1
578,0000000592025061320250909,0004257052025061320250909,Marco,0,D243_N5147_Andata_sub2,1
578,0000000592025061320250909,0004257062025061320250909,Marco,0,D243_N5147_Andata_sub2,1
578,0000000592025061320250909,0004257082025061320250909,Corso Bettini Liceo,1,D305_R5176a_Ritorno_sub1,1
578,0000000592025061320250909,0004257092025061320250909,Corso Bettini Liceo,1,D305_R5176a_Ritorno_sub1,1
